CACODE	CONSTITUENCY_C	CONSTITUENCY_E	CAND_NUM	NAME_E	NAME_C	AFFILIATION
A01	中環	chungwan	1	huichifung	許智峯	民主黨
A01	中環	chungwan	2	lauwaiyanvienna	劉尉欣	獨立建制派
A02	半山東	midlevelseast	1	ngsiuhong	吳兆康	民主黨
A02	半山東	midlevelseast	2	cheungyickhungjackie	張翼雄	香港島各界聯合會
A03	衛城	castleroad	1	chenglaiking	鄭麗琼	民主黨
A03	衛城	castleroad	2	nglungfei	吳龍飛	自由黨
A04	山頂	peak	1	chanshumoon	陳樹滿	2047香港監察/傘後組織
A04	山頂	peak	2	chanholimjoseph	陳浩濂	自由黨
A05	大學	university	1	lauedwardwaitak	劉偉德	西環飛躍動力/傘後組織
A05	大學	university	2	chanchitkwai	陳捷貴	新論壇
A06	堅摩	kennedytown&mountdavis	1	sincheuknam	冼卓嵐	民主黨
A06	堅摩	kennedytown&mountdavis	2	chowsaikit	周世傑	青年新政/傘後組織
A06	堅摩	kennedytown&mountdavis	3	chanhokfung	陳學鋒	民建聯
A07	觀龍	kwunlung	1	leungchunghangsixtus	梁頌恆	青年新政/傘後組織
A07	觀龍	kwunlung	2	yeunghoiwing	楊開永	民建聯
A08	西環	saiwan	1	chongwingfaiwinfield	莊榮輝	民主黨
A08	西環	saiwan	2	cheungkwokkwan	張國鈞	民建聯
A09	寶翠	belcher	1	yipwingshing	葉永成	香港島各界聯合會
A09	寶翠	belcher	2	yeungsuiyin	楊浩然	民主黨
A10	石塘咀	shektongtsui	1	yipkamlungsam	葉錦龍	西環飛躍動力/傘後組織
A10	石塘咀	shektongtsui	2	chanchoihi	陳財喜	新論壇/社區18
A11	西營盤	saiyingpun	1	loyeehang	盧懿杏	民建聯
A11	西營盤	saiyingpun	2	ngwingtak	伍永德	西環飛躍動力/傘後組織
A12	上環	sheungwan	1	luihungpan	呂鴻賓	香港島各界聯合會
A12	上環	sheungwan	2	kamnaiwai	甘乃威	民主黨
A13	東華	tungwah	1	siukayi	蕭嘉怡	民建聯
A13	東華	tungwah	2	hochunkifrederick	何俊麒	民主黨
A14	正街	centrestreet	1	cheungkaiyin	張啟昕	民主黨
A14	正街	centrestreet	2	leechihangsidney	李志恒	香港島各界聯合會
A15	水街	waterstreet	1	yeunghokming	楊學明	民建聯
A15	水街	waterstreet	2	nghoiyanbonnie	伍凱欣	民主黨
B01	軒尼詩	hennessy	1	chengkikin	鄭其建	獨立民主派
B01	軒尼詩	hennessy	2	cheongmanlei	張曼莉	獨立建制派
B02	愛群	oikwan	1	wongsuilung	黃瑞龍	撐傘落區/傘後組織
B02	愛群	oikwan	2	tangkingyunganna	鄭琴淵	民建聯
B03	鵝頸	canalroad	1	hogloriawingka	何詠嘉	獨立民主派
B03	鵝頸	canalroad	2	chungkamanjacqueline	鍾嘉敏	民建聯
B04	維園	victoriapark	1	chowkitbing	周潔冰	民建聯
