LC_CONSTITUENCY	DISTRICT	AGE	SEX	ELECTOR	TURNOUT
Hong Kong Island	Central & Western	18-20	F	1101	398
Hong Kong Island	Central & Western	18-20	M	1206	448
Hong Kong Island	Central & Western	21-25	F	2654	975
Hong Kong Island	Central & Western	21-25	M	2882	1064
Hong Kong Island	Central & Western	26-30	F	2924	1185
Hong Kong Island	Central & Western	26-30	M	2820	1196
Hong Kong Island	Central & Western	31-35	F	3490	1269
Hong Kong Island	Central & Western	31-35	M	3267	1362
Hong Kong Island	Central & Western	36-40	F	4166	1654
Hong Kong Island	Central & Western	36-40	M	3942	1694
Hong Kong Island	Central & Western	41-45	F	5070	2269
Hong Kong Island	Central & Western	41-45	M	4342	1940
Hong Kong Island	Central & Western	46-50	F	5219	2513
Hong Kong Island	Central & Western	46-50	M	4589	2339
Hong Kong Island	Central & Western	51-55	F	6446	3162
Hong Kong Island	Central & Western	51-55	M	5737	2905
Hong Kong Island	Central & Western	56-60	F	6046	3132
Hong Kong Island	Central & Western	56-60	M	5947	3037
Hong Kong Island	Central & Western	61-65	F	5172	2670
Hong Kong Island	Central & Western	61-65	M	5085	2697
Hong Kong Island	Central & Western	66-70	F	3838	2065
Hong Kong Island	Central & Western	66-70	M	3984	2191
Hong Kong Island	Central & Western	71+	F	7467	2934
Hong Kong Island	Central & Western	71+	M	7153	3272
Hong Kong Island	Eastern	18-20	F	3664	1234
Hong Kong Island	Eastern	18-20	M	3806	1213
Hong Kong Island	Eastern	21-25	F	8615	2521
Hong Kong Island	Eastern	21-25	M	9066	2636
Hong Kong Island	Eastern	26-30	F	8572	2564
Hong Kong Island	Eastern	26-30	M	8549	2779
Hong Kong Island	Eastern	31-35	F	9318	2710
Hong Kong Island	Eastern	31-35	M	9285	3004
Hong Kong Island	Eastern	36-40	F	11012	3591
Hong Kong Island	Eastern	36-40	M	10663	3381
Hong Kong Island	Eastern	41-45	F	13163	4507
Hong Kong Island	Eastern	41-45	M	11841	3953
Hong Kong Island	Eastern	46-50	F	14886	5734
Hong Kong Island	Eastern	46-50	M	12593	4836
Hong Kong Island	Eastern	51-55	F	18896	7515
Hong Kong Island	Eastern	51-55	M	16838	6633
Hong Kong Island	Eastern	56-60	F	17988	7317
Hong Kong Island	Eastern	56-60	M	16820	6964
Hong Kong Island	Eastern	61-65	F	15310	6067
Hong Kong Island	Eastern	61-65	M	14325	5915
Hong Kong Island	Eastern	66-70	F	11762	4770
Hong Kong Island	Eastern	66-70	M	11413	4770
Hong Kong Island	Eastern	71+	F	24586	7881
Hong Kong Island	Eastern	71+	M	21532	8132
New Territories West	Islands	18-20	F	1163	356
New Territories West	Islands	18-20	M	1244	437
New Territories West	Islands	21-25	F	2514	629
New Territories West	Islands	21-25	M	2722	782
New Territories West	Islands	26-30	F	1867	549
New Territories West	Islands	26-30	M	2103	644
New Territories West	Islands	31-35	F	1971	614
New Territories West	Islands	31-35	M	1974	632
New Territories West	Islands	36-40	F	2405	859
New Territories West	Islands	36-40	M	2220	827
New Territories West	Islands	41-45	F	3481	1391
New Territories West	Islands	41-45	M	2717	1074
New Territories West	Islands	46-50	F	3925	1664
New Territories West	Islands	46-50	M	3268	1416
New Territories West	Islands	51-55	F	4399	1974
New Territories West	Islands	51-55	M	4243	1822
New Territories West	Islands	56-60	F	3778	1811
New Territories West	Islands	56-60	M	4151	1941
New Territories West	Islands	61-65	F	2775	1367
New Territories West	Islands	61-65	M	3250	1580
