CACODE	CONSTITUENCY	CAND_NUM	NAME	RESULT	VOTE
A01	CHUNG WAN	1	HUI CHI FUNG	1,090*	1090
A01	CHUNG WAN	2	LAU WAI YAN VIENNA	940	940
A02	MID LEVELS EAST	1	NG SIU HONG	1,521*	1521
A02	MID LEVELS EAST	2	CHEUNG YICK HUNG JACKIE	1,466	1466
A03	CASTLE ROAD	1	CHENG LAI KING	1,457*	1457
A03	CASTLE ROAD	2	NG LUNG FEI	1,311	1311
A04	PEAK	1	CHAN SHU MOON	317	317
A04	PEAK	2	CHAN HO LIM JOSEPH	1,837*	1837
A05	UNIVERSITY	1	LAU EDWARD WAI TAK	1,455	1455
A05	UNIVERSITY	2	CHAN CHIT KWAI(STEPHEN)	1,844*	1844
A06	KENNEDY TOWN & MOUNT DAVIS	1	SIN CHEUK NAM	1,072	1072
A06	KENNEDY TOWN & MOUNT DAVIS	2	CHOW SAI KIT	838	838
A06	KENNEDY TOWN & MOUNT DAVIS	3	CHAN HOK FUNG	1,859*	1859
A07	KWUN LUNG	1	LEUNG CHUNG HANG SIXTUS	1,569	1569
A07	KWUN LUNG	2	YEUNG HOI WING	2,491*	2491
A08	SAI WAN	1	CHONG WING FAI WINFIELD	1,898	1898
A08	SAI WAN	2	CHEUNG KWOK KWAN	2,011*	2011
A09	BELCHER	1	YIP WING SHING	2,397*	2397
A09	BELCHER	2	YEUNG SUI YIN(VICTOR)	2,328	2328
A10	SHEK TONG TSUI	1	YIP KAM LUNG SAM	1,336	1336
A10	SHEK TONG TSUI	2	CHAN CHOI HI	1,898*	1898
A11	SAI YING PUN	1	LO YEE HANG	1,790*	1790
A11	SAI YING PUN	2	NG WING TAK	1,204	1204
A12	SHEUNG WAN	1	LUI HUNG PAN(BEN LUI)	1,344	1344
A12	SHEUNG WAN	2	KAM NAI WAI	1,436*	1436
A13	TUNG WAH	1	SIU KA YI	1,352*	1352
A13	TUNG WAH	2	HO CHUN KI FREDERICK	980	980
A14	CENTRE STREET	1	CHEUNG KAI YIN	1,621	1621
A14	CENTRE STREET	2	LEE CHI HANG SIDNEY	1,654*	1654
A15	WATER STREET	1	YEUNG HOK MING	1,878*	1878
A15	WATER STREET	2	NG HOI YAN BONNIE	1,619	1619
B01	HENNESSY	1	CHENG KI KIN	1,590*	1590
B01	HENNESSY	2	CHEONG MAN LEI	760	760
B02	OI KWAN	1	WONG SUI LUNG	915	915
B02	OI KWAN	2	TANG KING YUNG ANNA	1,367*	1367
