LC_CONSTITUENCY	DISTRICT	AGE	SEX	VOTER_NUM
Hong Kong Island	Central & Western	18-20	M	1206
Hong Kong Island	Central & Western	18-20	F	1101
Hong Kong Island	Central & Western	21-25	M	2882
Hong Kong Island	Central & Western	21-25	F	2654
Hong Kong Island	Central & Western	26-30	M	2820
Hong Kong Island	Central & Western	26-30	F	2924
Hong Kong Island	Central & Western	31-35	M	3267
Hong Kong Island	Central & Western	31-35	F	3490
Hong Kong Island	Central & Western	36-40	M	3942
Hong Kong Island	Central & Western	36-40	F	4166
Hong Kong Island	Central & Western	41-45	M	4342
Hong Kong Island	Central & Western	41-45	F	5070
Hong Kong Island	Central & Western	46-50	M	4589
Hong Kong Island	Central & Western	46-50	F	5219
Hong Kong Island	Central & Western	51-55	M	5737
Hong Kong Island	Central & Western	51-55	F	6446
Hong Kong Island	Central & Western	56-60	M	5947
Hong Kong Island	Central & Western	56-60	F	6046
Hong Kong Island	Central & Western	61-65	M	5085
Hong Kong Island	Central & Western	61-65	F	5172
Hong Kong Island	Central & Western	66-70	M	3984
Hong Kong Island	Central & Western	66-70	F	3838
Hong Kong Island	Central & Western	71+	M	7153
Hong Kong Island	Central & Western	71+	F	7467
Hong Kong Island	Wan Chai	18-20	M	663
Hong Kong Island	Wan Chai	18-20	F	607
Hong Kong Island	Wan Chai	21-25	M	1585
Hong Kong Island	Wan Chai	21-25	F	1532
Hong Kong Island	Wan Chai	26-30	M	1606
Hong Kong Island	Wan Chai	26-30	F	1639
Hong Kong Island	Wan Chai	31-35	M	2007
Hong Kong Island	Wan Chai	31-35	F	2108
Hong Kong Island	Wan Chai	36-40	M	2475
Hong Kong Island	Wan Chai	36-40	F	2787
Hong Kong Island	Wan Chai	41-45	M	3044
Hong Kong Island	Wan Chai	41-45	F	3318
Hong Kong Island	Wan Chai	46-50	M	3001
Hong Kong Island	Wan Chai	46-50	F	3428
Hong Kong Island	Wan Chai	51-55	M	3566
Hong Kong Island	Wan Chai	51-55	F	3952
Hong Kong Island	Wan Chai	56-60	M	3676
Hong Kong Island	Wan Chai	56-60	F	3996
Hong Kong Island	Wan Chai	61-65	M	3548
Hong Kong Island	Wan Chai	61-65	F	3830
Hong Kong Island	Wan Chai	66-70	M	3012
Hong Kong Island	Wan Chai	66-70	F	3222
Hong Kong Island	Wan Chai	71+	M	6393
Hong Kong Island	Wan Chai	71+	F	6792
Hong Kong Island	Eastern	18-20	M	3806
Hong Kong Island	Eastern	18-20	F	3664
Hong Kong Island	Eastern	21-25	M	9066
Hong Kong Island	Eastern	21-25	F	8615
Hong Kong Island	Eastern	26-30	M	8549
Hong Kong Island	Eastern	26-30	F	8572
Hong Kong Island	Eastern	31-35	M	9285
Hong Kong Island	Eastern	31-35	F	9318
Hong Kong Island	Eastern	36-40	M	10663
Hong Kong Island	Eastern	36-40	F	11012
Hong Kong Island	Eastern	41-45	M	11841
Hong Kong Island	Eastern	41-45	F	13163
Hong Kong Island	Eastern	46-50	M	12593
Hong Kong Island	Eastern	46-50	F	14886
Hong Kong Island	Eastern	51-55	M	16838
Hong Kong Island	Eastern	51-55	F	18896
Hong Kong Island	Eastern	56-60	M	16820
Hong Kong Island	Eastern	56-60	F	17988
Hong Kong Island	Eastern	61-65	M	14325
Hong Kong Island	Eastern	61-65	F	15310
Hong Kong Island	Eastern	66-70	M	11413
Hong Kong Island	Eastern	66-70	F	11762
Hong Kong Island	Eastern	71+	M	21532
Hong Kong Island	Eastern	71+	F	24586
Hong Kong Island	Southern	18-20	M	1759
Hong Kong Island	Southern	18-20	F	1746
Hong Kong Island	Southern	21-25	M	4109
Hong Kong Island	Southern	21-25	F	4126
Hong Kong Island	Southern	26-30	M	4086
Hong Kong Island	Southern	26-30	F	4133
Hong Kong Island	Southern	31-35	M	4694
Hong Kong Island	Southern	31-35	F	4640
Hong Kong Island	Southern	36-40	M	4733
Hong Kong Island	Southern	36-40	F	4821
Hong Kong Island	Southern	41-45	M	5382
Hong Kong Island	Southern	41-45	F	5927
Hong Kong Island	Southern	46-50	M	6303
Hong Kong Island	Southern	46-50	F	7275
Hong Kong Island	Southern	51-55	M	8141
Hong Kong Island	Southern	51-55	F	8916
Hong Kong Island	Southern	56-60	M	8055
Hong Kong Island	Southern	56-60	F	8659
Hong Kong Island	Southern	61-65	M	6791
Hong Kong Island	Southern	61-65	F	6958
Hong Kong Island	Southern	66-70	M	4944
Hong Kong Island	Southern	66-70	F	5225
Hong Kong Island	Southern	71+	M	9935
Hong Kong Island	Southern	71+	F	11279
Kowloon West	Yau Tsim Mong	18-20	M	1539
Kowloon West	Yau Tsim Mong	18-20	F	1411
Kowloon West	Yau Tsim Mong	21-25	M	3515
Kowloon West	Yau Tsim Mong	21-25	F	3255
Kowloon West	Yau Tsim Mong	26-30	M	3345
Kowloon West	Yau Tsim Mong	26-30	F	3275
Kowloon West	Yau Tsim Mong	31-35	M	4052
Kowloon West	Yau Tsim Mong	31-35	F	3959
Kowloon West	Yau Tsim Mong	36-40	M	5075
Kowloon West	Yau Tsim Mong	36-40	F	5078
Kowloon West	Yau Tsim Mong	41-45	M	5859
Kowloon West	Yau Tsim Mong	41-45	F	6084
Kowloon West	Yau Tsim Mong	46-50	M	5356
Kowloon West	Yau Tsim Mong	46-50	F	5621
Kowloon West	Yau Tsim Mong	51-55	M	5939
Kowloon West	Yau Tsim Mong	51-55	F	6149
Kowloon West	Yau Tsim Mong	56-60	M	5578
Kowloon West	Yau Tsim Mong	56-60	F	5718
Kowloon West	Yau Tsim Mong	61-65	M	5197
Kowloon West	Yau Tsim Mong	61-65	F	5176
Kowloon West	Yau Tsim Mong	66-70	M	4032
Kowloon West	Yau Tsim Mong	66-70	F	4348
Kowloon West	Yau Tsim Mong	71+	M	9196
Kowloon West	Yau Tsim Mong	71+	F	9124
Kowloon West	Sham Shui Po	18-20	M	2597
Kowloon West	Sham Shui Po	18-20	F	2461
Kowloon West	Sham Shui Po	21-25	M	5930
Kowloon West	Sham Shui Po	21-25	F	5636
Kowloon West	Sham Shui Po	26-30	M	5519
Kowloon West	Sham Shui Po	26-30	F	5395
Kowloon West	Sham Shui Po	31-35	M	5810
Kowloon West	Sham Shui Po	31-35	F	5574
Kowloon West	Sham Shui Po	36-40	M	5927
Kowloon West	Sham Shui Po	36-40	F	6121
Kowloon West	Sham Shui Po	41-45	M	6420
Kowloon West	Sham Shui Po	41-45	F	7245
Kowloon West	Sham Shui Po	46-50	M	6994
Kowloon West	Sham Shui Po	46-50	F	7985
Kowloon West	Sham Shui Po	51-55	M	8826
Kowloon West	Sham Shui Po	51-55	F	9554
Kowloon West	Sham Shui Po	56-60	M	9711
Kowloon West	Sham Shui Po	56-60	F	10064
Kowloon West	Sham Shui Po	61-65	M	8226
Kowloon West	Sham Shui Po	61-65	F	8174
Kowloon West	Sham Shui Po	66-70	M	6079
Kowloon West	Sham Shui Po	66-70	F	6117
Kowloon West	Sham Shui Po	71+	M	14691
Kowloon West	Sham Shui Po	71+	F	15650
Kowloon West	Kowloon City	18-20	M	2493
Kowloon West	Kowloon City	18-20	F	2417
Kowloon West	Kowloon City	21-25	M	5546
Kowloon West	Kowloon City	21-25	F	5243
Kowloon West	Kowloon City	26-30	M	5001
Kowloon West	Kowloon City	26-30	F	5017
Kowloon West	Kowloon City	31-35	M	5474
Kowloon West	Kowloon City	31-35	F	5627
Kowloon West	Kowloon City	36-40	M	6744
Kowloon West	Kowloon City	36-40	F	7116
Kowloon West	Kowloon City	41-45	M	8071
Kowloon West	Kowloon City	41-45	F	8701
Kowloon West	Kowloon City	46-50	M	8040
Kowloon West	Kowloon City	46-50	F	8846
Kowloon West	Kowloon City	51-55	M	9497
Kowloon West	Kowloon City	51-55	F	10177
Kowloon West	Kowloon City	56-60	M	9053
Kowloon West	Kowloon City	56-60	F	9557
Kowloon West	Kowloon City	61-65	M	7849
Kowloon West	Kowloon City	61-65	F	8822
Kowloon West	Kowloon City	66-70	M	6699
Kowloon West	Kowloon City	66-70	F	7360
Kowloon West	Kowloon City	71+	M	14748
Kowloon West	Kowloon City	71+	F	16195
Kowloon East	Wong Tai Sin	18-20	M	3630
Kowloon East	Wong Tai Sin	18-20	F	3598
Kowloon East	Wong Tai Sin	21-25	M	9285
Kowloon East	Wong Tai Sin	21-25	F	8760
Kowloon East	Wong Tai Sin	26-30	M	7500
Kowloon East	Wong Tai Sin	26-30	F	7091
Kowloon East	Wong Tai Sin	31-35	M	7362
Kowloon East	Wong Tai Sin	31-35	F	7057
Kowloon East	Wong Tai Sin	36-40	M	7372
Kowloon East	Wong Tai Sin	36-40	F	7342
Kowloon East	Wong Tai Sin	41-45	M	8300
Kowloon East	Wong Tai Sin	41-45	F	9463
Kowloon East	Wong Tai Sin	46-50	M	10331
Kowloon East	Wong Tai Sin	46-50	F	11708
Kowloon East	Wong Tai Sin	51-55	M	14373
Kowloon East	Wong Tai Sin	51-55	F	15293
